Nombre Oficial;Comuna;Vía;Número;Dirección;Teléfono;Tiene Servicio de Urgencia;Tipo de Urgencia;Tipo de SAPU
Hospital 21 de Mayo (Taltal);Taltal;Calle;450;O'Higgins;552656300;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural Paposo;Taltal;Calle;S/N;Caserío de Paposo;Pendiente;NO;No Aplica;No Aplica
Clínica Antofagasta;Antofagasta;Calle;1945;Matta;552208201;SI;Urgencia Hospitalaria (UEH);No Aplica
Centro Comunitario de Salud Familiar Coviefi;Antofagasta;Calle;2165;Santa Rita, Coviefi;Pendiente;NO;No Aplica;No Aplica
SAR Coviefi;Antofagasta;Calle;2165;Santa Rita, Coviefi;Pendiente;SI;Urgencia ambulatoria (SAR);No Aplica
Posta de Salud Rural Peine;San Pedro de Atacama;Calle;S/N;Sector de Peine;Pendiente;NO;No Aplica;No Aplica
Instituto Teletón Antofagasta;Antofagasta;Avenida;475;Angamos;552683100;NO;No Aplica;No Aplica
Clínica Oriente;Antofagasta;Calle;861;Talca;552247799;NO;No Aplica;No Aplica
SAPU Centro Sur de Antofagasta;Antofagasta;Pasaje;850;Niebla;552655597;SI;Urgencia Ambulatoria (SAPU);Corto
Centro de Salud Familiar Centro Sur de Antofagasta;Antofagasta;Pasaje;850;Niebla;552331110;NO;No Aplica;No Aplica
Hospital Militar del Norte;Antofagasta;Avenida;957;Borgoño;552353000;SI;Urgencia Hospitalaria (UEH);No Aplica
Policlínico del Trabajador AChS Antofagasta;Antofagasta;Avenida;840;Grecia;552355200;NO;No Aplica;No Aplica
Policlínico Gendarmería Regional de Antofagasta;Antofagasta;Calle;1030;Barón de la Riviere;552897184;NO;No Aplica;No Aplica
LABORATORIO CAZE Salud;Antofagasta;Calle;1090;Díaz Gana 1090;553215794;NO;No Aplica;No Aplica
Laboratorio Clínico Angamos;Antofagasta;Calle;1201;Manuel Verbal, Piso 4;552552239;NO;No Aplica;No Aplica
COSAM Sur;Antofagasta;Avenida;386;República de Croacia;552841592;NO;No Aplica;No Aplica
Laboratorio Clínico Kausay;Antofagasta;Avenida;1338;Bernardo O'Higgins, Oficina 1202;552241028;NO;No Aplica;No Aplica
Natural CELL;Antofagasta;Calle;1351;Eduardo Orchard 1351;956980240;NO;No Aplica;No Aplica
Laboratorio Clínico Austral;Antofagasta;Calle;1351;Eduardo Orchard, interior centro Médico SASEVI;982591593;NO;No Aplica;No Aplica
Sociedad Diálisis Nordial Ltda.;Antofagasta;Calle;1376;Matías Rojas;552268824;NO;No Aplica;No Aplica
Vacunatorio Minimed;Antofagasta;Calle;1350;Galleguillos Lorca, sala 2;988646617;NO;No Aplica;No Aplica
Laboratorio Clinilab (Antofagasta);Antofagasta;Calle;1285;General Velásquez;552383063;NO;No Aplica;No Aplica
Laboratorio Histonor;Antofagasta;Avenida;1609;Argentina;552556511;NO;No Aplica;No Aplica
Hospital Clínico Universidad de Antofagasta;Antofagasta;Avenida;1962;Argentina;996210121;NO;No Aplica;No Aplica
Servicio Médico Legal Antofagasta;Antofagasta;Calle;1320;21 de Mayo;(55)286649 - 498648;NO;No Aplica;No Aplica
Laboratorio Clínico Madison EIRL;Antofagasta;Avenida;1849;Grecia;552258838;NO;No Aplica;No Aplica
CliniService - Servicios Clínicos Valeska Ríos E.I.R.L.;Antofagasta;Calle;1868;Manuel Antonio Matta #1868 oficina 603;56 9 9287 7932;NO;No Aplica;No Aplica
INMUNIN SpA;Antofagasta;Calle;1868;Manuel Antonio Matta, Oficina 501;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Sanymed;Antofagasta;Calle;712;Coquimbo;552494193;NO;No Aplica;No Aplica
Laboratorio Clínico Galeno;Antofagasta;Calle;712;Coquimbo;552288915;NO;No Aplica;No Aplica
Laboratorio Clínico Blanco;Antofagasta;Calle;1839;Matta;552458605;NO;No Aplica;No Aplica
Vacunvid Spa;Antofagasta;Calle;1839;Manuel Antonio Matta , oficina 801-B;997886479;NO;No Aplica;No Aplica
Policlínico Mantos Blancos;Antofagasta;Avenida;1964;O'Higgins;552259852;NO;No Aplica;No Aplica
Laboratorio Radiolab;Antofagasta;Avenida;1974;Bernardo O'Higgins;552226384;NO;No Aplica;No Aplica
ANDESMEDICA;Antofagasta;Avenida;801;Matta, Of 801;552221370;NO;No Aplica;No Aplica
Centro Odontológico Uno Salud Dental Antofagasta;Antofagasta;Avenida;2001-2013;Manuel Antonio Matta, Local 2;227634497;NO;No Aplica;No Aplica
Laboratorio Clínico Bionet S.A. - Antofagasta;Antofagasta;Calle;1168;Prat;552626281;NO;No Aplica;No Aplica
Crystal Lab Scientific Diagnostics;Antofagasta;Calle;2095;Matta, Oficina 601;552895584;NO;No Aplica;No Aplica
Clínica Oftalmológica (Mas Visión);Antofagasta;Calle;1973;Condell;552264006;NO;No Aplica;No Aplica
Laboratorio Medinort Salud Ocupacional e Integral S.A.;Antofagasta;Calle;2213;José Santos Ossa, Piso 5;552370400;NO;No Aplica;No Aplica
Vacunatorio Medinort;Antofagasta;Calle;2213;José Santos Ossa;51586848;NO;No Aplica;No Aplica
Centro de Salud Clinisan;Antofagasta;Calle;898;Maipú;552260810;NO;No Aplica;No Aplica
LABORATORIO HIGH CLINIC;Antofagasta;Calle;630;21 DE MAYO (CASA 15);2 893612 ;NO;No Aplica;No Aplica
Laboratorio Clínico Lavoisier;Antofagasta;Calle;889;Maipú;552893523;NO;No Aplica;No Aplica
Policlínico Instituto de Seguridad del Trabajo de Antofagasta;Antofagasta;Calle;679;Orella;552254812;NO;No Aplica;No Aplica
LABORATORIO CLINICO ATENEA;Antofagasta;Calle;610;ORELLA 610 OF 401;552466090;NO;No Aplica;No Aplica
