Nombre Oficial;Comuna;Vía;Número;Dirección;Teléfono;Tiene Servicio de Urgencia;Tipo de Urgencia;Tipo de SAPU
Centro de Salud Familiar Lican Ray;Villarrica;Calle;S/N;Cacique Marichanquín;Pendiente;NO;No Aplica;No Aplica
SUR Lican Ray;Villarrica;Calle;205;Cacique Marichanquín;452131776;SI;Urgencia Ambulatoria (SUR);No Aplica
Posta de Salud Rural Añilco;Villarrica;Calle;S/N;Sector Añilco;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Caren;Curarrehue;Calle;S/N;Camino Internacional;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Pulmahue;Loncoche;Calle;S/N;Sector Pulmahue;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural La Paz;Loncoche;Calle;S/N;Aldea de La Paz;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Queule;Toltén;Calle;S/N;Pueblo de Queule;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Copihuelpe;Loncoche;Calle;S/N;Sector Copihuelpe;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Liumalla;Villarrica;Calle;S/N;Sector Liumalla;Pendiente;NO;No Aplica;No Aplica
Hospital Familiar y Comunitario de Loncoche;Loncoche;Calle;330;Carrera;452551750;SI;Urgencia Hospitalaria (UEH);No Aplica
Consultorio Curarrehue;Curarrehue;Calle;888;Cacique Catriqui;452351579;NO;No Aplica;No Aplica
SUR Curarrehue;Curarrehue;Calle;888;Cacique Catriqui;452351579;SI;Urgencia Ambulatoria (SUR);No Aplica
Posta de Salud Rural Catripulli ( Curarrehue );Curarrehue;Calle;S/N;Sector Catripulli;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Puralaco;Toltén;Calle;43;Blanco Encalada;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Maite;Curarrehue;Calle;S/N;Sector Maite;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Los Volcanes;Villarrica;Calle;800;Los Volcanes;452413310;NO;No Aplica;No Aplica
SAR Los Volcanes;Villarrica;Calle;S/N;Segunda Faja al Volcán;452416286;SI;Urgencia ambulatoria (SAR);No Aplica
Posta de Salud Rural Molco ( Loncoche );Loncoche;Calle;S/N;Sector Molco;Pendiente;NO;No Aplica;No Aplica
Consultorio de Huiscapi;Loncoche;Calle;S/N;Pueblo de Huiscapi;Pendiente;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Todos los Santos;Villarrica;Calle;910;Chile Barrio;452558100;NO;No Aplica;No Aplica
SAPU Villarica;Villarrica;Calle;2001;Caupolicán;452413222;SI;Urgencia Ambulatoria (SAPU);Corto
Centro de Salud Familiar Villarrica;Villarrica;Calle;2001;Caupolicán;800500910;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Ñancul;Villarrica;Calle;S/N;Juan Contreras, localidad de Ñancul;452747592 - 452747594;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Pucón Oriente;Pucón;Calle;S/N;Río Claro;453341;NO;No Aplica;No Aplica
Laboratorio Clínica Villarrica;Villarrica;Calle;750;Vicente Reyes N°750;56962095097;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar 21 de Mayo;Villarrica;Calle;970;Sargento Aldea;452558075;NO;No Aplica;No Aplica
Laboratorio Clínico del Lago;Villarrica;Calle;280;Camilo Henríquez;452413914;NO;No Aplica;No Aplica
SurImagen Ltda.;Villarrica;Calle;280;Camilo Henríquez;Pendiente;NO;No Aplica;No Aplica
SAPU Pucón;Pucón;Pasaje;S/N;Adolfo Kachele;452293000;SI;Urgencia Ambulatoria (SAPU);Corto
Laboratorio IMEX Limitada - Sala Externa de toma de muestra;Villarrica;Calle;845;San Martín;452732481;NO;No Aplica;No Aplica
Centro de Salud Familiar Rural Pucón;Pucón;Calle;662;Ansorena;452293131;NO;No Aplica;No Aplica
Hospital San Francisco de Pucón (D);Pucón;Calle;325;Uruguay;452441177;SI;Urgencia Hospitalaria (UEH);No Aplica
Hospital de Villarrica;Villarrica;Calle;460;San Martín;452555250;SI;Urgencia Hospitalaria (UEH);No Aplica
Centro de Diálisis Villarrica Ltda.;Villarrica;Calle;20;General Urrutia;452410707;NO;No Aplica;No Aplica
Posta de Salud Rural San Pedro de Pucón;Pucón;Calle;1424;Ejercito;Pendiente;NO;No Aplica;No Aplica
