Nombre Oficial;Comuna;Vía;Número;Dirección;Teléfono;Tiene Servicio de Urgencia;Tipo de Urgencia;Tipo de SAPU
Posta de Salud Rural Incahuasi;Vallenar;Calle;S/N;Luis Pasteur;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Carrizalillo (Freirina);Freirina;Calle;S/N;Sector Carrizalillo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Las Breas (Alto del Carmen);Alto del Carmen;Calle;S/N;Caserío Canto Las Breas;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Cachiyuyo;Vallenar;Calle;S/N;Dr. Aravena;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Conay;Alto del Carmen;Calle;S/N;Caserío Conay;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Domeyko;Vallenar;Calle;S/N;Pedro Cuadra;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural San Félix;Alto del Carmen;Calle;S/N;Aldea de San Félix;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural El Tránsito;Alto del Carmen;Calle;S/N;Aldea de El Transito;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Alto del Carmen;Alto del Carmen;Calle;6;Jerónimo Godoy;512617055;NO;No Aplica;No Aplica
SUR Alto del Carmen;Alto del Carmen;Calle;6;Jerónimo Godoy;512617055;SI;Urgencia Ambulatoria (SUR);No Aplica
Posta de Salud Rural Hacienda Compañía;Vallenar;Calle;S/N;Aldea Hacienda Compañía;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Joan Crawford Astudillo;Vallenar;Avenida;S/N;España;512614561;NO;No Aplica;No Aplica
SAPU Joan Crawford Astudillo;Vallenar;Avenida;1800;Los Escritores;Pendiente;SI;Urgencia Ambulatoria (SAPU);Corto
Centro de Dialisis Miaquen Limitada;Vallenar;Calle;2025;Prat;512349714;NO;No Aplica;No Aplica
Centro de Salud Compañía Aceros del Pacífico;Vallenar;Calle;1755;Serrano;512613829;NO;No Aplica;No Aplica
Clínica de Enfermería del Centro de Detención Preventiva de Vallenar;Vallenar;Calle;720;Catorce de Julio;Pendiente;NO;No Aplica;No Aplica
SAPU Baquedano;Vallenar;Avenida;S/N;Perú;522614592;SI;Urgencia Ambulatoria (SAPU);Corto
Centro de Salud Familiar Baquedano;Vallenar;Avenida;S/N;Perú;512614592;NO;No Aplica;No Aplica
Laboratorio Clínico Huasco-Vallenar;Vallenar;Calle;1150;Serrano;512616694;NO;No Aplica;No Aplica
Laboratorio Clínico Bionet S.A. - Vallenar;Vallenar;Calle;629;Alonso de Ercilla;512613194;NO;No Aplica;No Aplica
Laboratorio Clínico Vallenar;Vallenar;Calle;1150;Prat;512610558;NO;No Aplica;No Aplica
Laboratorio Bio-Test;Vallenar;Calle;1278;Ramírez;512611854;NO;No Aplica;No Aplica
Clínica del Trabajador AChS Vallenar;Vallenar;Calle;1150;Merced;512613203;NO;No Aplica;No Aplica
Hospital Provincial del Huasco Monseñor Fernando Ariztía Ruiz (Vallenar);Vallenar;Avenida;392;Huasco;512331500;SI;Urgencia Hospitalaria (UEH);No Aplica
Centro de Salud Mutual CChC Vallenar;Vallenar;Calle;471;Serrano;522614583;NO;No Aplica;No Aplica
Centro de Salud Familiar Estación;Vallenar;Calle;S/N;Ramírez;512614704;NO;No Aplica;No Aplica
Servicio Médico Legal Vallenar;Vallenar;Avenida;615;Matta;(51)612552;NO;No Aplica;No Aplica
Centro de Salud Familiar Hermanos Carrera;Vallenar;Avenida;S/N;Lautaro;512614705;NO;No Aplica;No Aplica
