Nombre Oficial;Comuna;Vía;Número;Dirección;Teléfono;Tiene Servicio de Urgencia;Tipo de Urgencia;Tipo de SAPU
Posta de Salud Rural Villa O'Higgins;O'Higgins;Calle;S/N;Aldea de O'Higgins;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Caleta Tortel;Tortel;Calle;S/N;Aldea de Tortel;Pendiente;NO;No Aplica;No Aplica
Hospital Lord Cochrane;Cochrane;Calle;S/N;Bernardo O'Higgins;672261331;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural Puerto Bertrand;Chile Chico;Calle;S/N;Caserío de Puerto Bertrand;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Puerto Guadal;Chile Chico;Calle;S/N;Aldea de Puerto Guadal;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Mallín Grande;Chile Chico;Calle;S/N;Caserío de Mallín Grande;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Río Tranquilo;Río Ibáñez;Calle;S/N;Aldea de Río Tranquilo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Puerto Sánchez;Río Ibáñez;Calle;S/N;Caserío de Puerto Sánchez;Pendiente;NO;No Aplica;No Aplica
Hospital Dr. Leopoldo Ortega R. (Chile Chico);Chile Chico;Calle;275;Lautaro;672261411;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural Bahía Murta;Río Ibáñez;Calle;S/N;Aldea de Bahía Murta;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Puerto Ibáñez;Río Ibáñez;Calle;S/N;Aldea de Puerto Ibáñez;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Cerro Castillo (Río Ibáñez);Río Ibáñez;Calle;S/N;Aldea de Cerro Castillo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Balmaceda;Coyhaique;Calle;S/N;Aldea de Balmaceda;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural El Blanco;Coyhaique;Calle;S/N;Aldea de el Blanco;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Valle Simpson;Coyhaique;Calle;S/N;Aldea de Valle Simpson;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Lago Atravesado;Coyhaique;Calle;S/N;Sector Lago Atravesado;Pendiente;NO;No Aplica;No Aplica
Consultorio Víctor Domingo Silva;Coyhaique;Calle;S/N;Alejandro Gutiérrez;800500977;NO;No Aplica;No Aplica
Policlínico del Trabajador Coyhaique;Coyhaique;Avenida;1018;Ogana;672232710;NO;No Aplica;No Aplica
SAPU Dr. Alejandro Gutiérrez;Coyhaique;Calle;1955;Francisco Bilbao;672671263;SI;Urgencia Ambulatoria (SAPU);Corto
Consultorio Alejandro Gutiérrez;Coyhaique;Calle;S/N;Bilbao;800500976;NO;No Aplica;No Aplica
COSAM Coyhaique;Coyhaique;Calle;1435;Freire;672261403;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Alejandro Gutierrez;Coyhaique;Calle;63;Lautaro;Pendiente;NO;No Aplica;No Aplica
Vacunatorio - Clínica Bilbao;Coyhaique;Calle;449;Francisco Bilbao;95406218;NO;No Aplica;No Aplica
Centro Médico y Dental Clínica Bilbao;Coyhaique;Calle;449;Francisco Bilbao;672583126;NO;No Aplica;No Aplica
Servicio Médico Legal Coyhaique;Coyhaique;Calle;288;12 de Octubre, Oficina 206 - 207;(67)236309 - 236310;NO;No Aplica;No Aplica
Laboratorio Clínico Diagnóstico Análisis Coyhaique;Coyhaique;Calle;20;Eusebio Lillo, Piso 2;672574130;NO;No Aplica;No Aplica
Centro de Salud Mutual CChC Coyhaique;Coyhaique;Calle;20;Eusebio Lillo;672232777;NO;No Aplica;No Aplica
Laboratorio Clínico Thomas Ltda.;Coyhaique;Calle;228;Condell;672210051;NO;No Aplica;No Aplica
Centro Médico y Dental XI Zona Aysén del General Carlos Ibáñez del Campo;Coyhaique;Calle;534;Baquedano;672567034;NO;No Aplica;No Aplica
Servicios de Enfermería y Salud Camila Barrueto;Coyhaique;Calle;328;21 de Mayo, Piso 2;Pendiente;NO;No Aplica;No Aplica
Hospital Regional (Coihaique);Coyhaique;Calle;68;Jorge Ibar;672262003;SI;Urgencia Hospitalaria (UEH);No Aplica
Clínica Dental Móvil Simple. Pat. PW4067 (Coihaique);Coyhaique;Calle;168;Dr. Jorge Ibar;Pendiente;NO;No Aplica;No Aplica
Mamógrafo Digital - Ecotomógrafo Móvil. Pat. PX1462-2 (SS Aysén);Coyhaique;Calle;168;Dr. Jorge Ibar;672216443;NO;No Aplica;No Aplica
Unidad de Salud Funcionario S.S Aisén;Coyhaique;Calle;168;Dr Jorge Ibar;672216443;NO;No Aplica;No Aplica
Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Aysén);Coyhaique;Calle;168;Dr Jorge Ibar;672216443;NO;No Aplica;No Aplica
PRAIS (S.S Aisén);Coyhaique;Calle;168;Dr Jorge Ibar;672216443;NO;No Aplica;No Aplica
Centro Clínico Militar Coyhaique;Coyhaique;Calle;150;Ejército;672210916;NO;No Aplica;No Aplica
Instituto Teletón Aysén;Coyhaique;Calle;567;Ejercito;672243700;NO;No Aplica;No Aplica
Centro de Salud Mutual CChC Puerto Chacabuco;Aisén;Calle;270;O'Higgins;672351129;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Puerto Chacabuco;Aisén;Calle;331;"O""higgins, Puerto Chacabuco";672351388 anexo 671610;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Ribera Sur;Aisén;Calle;S/N;Lago Portales;672261600;NO;No Aplica;No Aplica
Hospital de Puerto Aysén;Aisén;Calle;180;Yussef Laibe;672262830;SI;Urgencia Hospitalaria (UEH);No Aplica
Clínica de Trabajador AChS;Aisén;Avenida;S/N;Circunvalación;672336680;NO;No Aplica;No Aplica
Servicio Médico Legal Puerto Aysén;Aisén;Calle;S/N;Circunvalación Rivera Sur, Edificio de Servicios Públicos;(67)336305;NO;No Aplica;No Aplica
Centro de Salud Familiar Puerto Aysen;Aisén;Calle;1035;Eleuterio Ramirez;672261151;NO;No Aplica;No Aplica
Posta de Salud Rural Villa Ortega;Coyhaique;Calle;S/N;Caserío de Villa Ortega;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Ñireguao;Coyhaique;Calle;S/N;Caserío de Ñireguao;Pendiente;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Villa Mañihuales;Aisén;Calle;134;Arturo Prat;672261697;NO;No Aplica;No Aplica
Posta de Salud Rural Puerto Aguirre;Aisén;Calle;S/N;Aldea de Puerto Aguirre;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Caleta Andrade;Aisén;Calle;S/N;Aldea de Caleta Andrade;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural El Gato;Coyhaique;Calle;S/N;Sector El Gato;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Villa Amengual;Lago Verde;Calle;S/N;Caserío Villa Amengual;Pendiente;NO;No Aplica;No Aplica
Hospital Dr. Jorge Ibar (Cisnes);Cisnes;Calle;869;Rafael Sotomayor;672261302;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural La Tapera;Lago Verde;Calle;S/N;Caserío Villa La Tapera;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Puyuhuapi;Cisnes;Calle;S/N;Aldea Puerto Puyuhuapi;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Isla Toto;Cisnes;Calle;S/N;Sector Isla Toto;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Lago Verde;Lago Verde;Calle;S/N;Aldea de Lago Verde;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Melimoyu;Cisnes;Calle;S/N;Caserío de Melimoyu;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar La Junta;Cisnes;Calle;S/N;Diego Portales, La Junta;973983674 anexo 671670;NO;No Aplica;No Aplica
Posta de Salud Rural Melinka;Guaitecas;Calle;S/N;Pueblo de Melinka;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Raúl Marín Balmaceda;Cisnes;Calle;S/N;Caserío Raúl Marín Balmaceda;Pendiente;NO;No Aplica;No Aplica
