Nombre Oficial;Comuna;Vía;Número;Dirección;Teléfono;Tiene Servicio de Urgencia;Tipo de Urgencia;Tipo de SAPU
Posta de Salud Rural Casa de Piedra;Tirúa;Calle;S/N;Sector Casa de Piedra;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Alto Quilantahue;Tirúa;Calle;S/N;Sector Alto Quilantahue;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Primer Agua;Tirúa;Calle;S/N;Sector Primer Agua;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Loncotripai;Tirúa;Calle;S/N;Sector Loncotripai;412726220;NO;No Aplica;No Aplica
Posta de Salud Rural Isla Mocha;Lebu;Calle;S/N;Sector Isla Mocha;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Isabel Jiménez;Tirúa;Calle;S/N;Atahualpa;412721172;NO;No Aplica;No Aplica
SUR Isabel Jiménez;Tirúa;Calle;S/N;Atahualpa;412721172;SI;Urgencia Ambulatoria (SUR);No Aplica
Centro Comunitario de Salud Familiar Quidico;Tirúa;Calle;S/N;Aldea de Quidico;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Mahuilque Bajo;Contulmo;Calle;S/N;Sector Mahuilque Bajo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Los Huapes de Aillahuampi;Contulmo;Calle;S/N;Sector Los Huapes de Aillahuampi;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Ranquilhue;Tirúa;Calle;S/N;Sector Ranquilhue;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Huillinco;Contulmo;Calle;S/N;Sector Huillinco;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Ralco Lepoy;Alto Biobío;Calle;S/N;Sector Ralco Lepoy;Pendiente;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Antiquina;Cañete;Calle;S/N;Ruta P70 R, Sector Antiquina;413279421;NO;No Aplica;No Aplica
Posta de Salud Rural Malla Palmucho;Alto Biobío;Calle;S/N;Sector Malla Palmucho;Pendiente;NO;No Aplica;No Aplica
Hospital de Contulmo;Contulmo;Calle;1075;Las Araucarias;412724150;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural Pocuno;Cañete;Calle;S/N;Sector Pocuno;Pendiente;NO;No Aplica;No Aplica
Anexo Sociosanitario Contulmo;Contulmo;Calle;S/N;Las Araucarias s/n, comuna de Contulmo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Huentelolén;Cañete;Calle;S/N;Sector Huentelolén;Pendiente;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Elicura;Contulmo;Calle;S/N;Los Peumos, Sector Calebu;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural El Cisne;Mulchén;Calle;S/N;Sector El Cisne;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Lloncao;Cañete;Calle;S/N;Caserío de Lloncao;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Ralco;Alto Biobío;Calle;S/N;Domingo Salvo;432374151;NO;No Aplica;No Aplica
SUR Ralco;Alto Biobío;Calle;S/N;Domingo Salvo;432374151;SI;Urgencia Ambulatoria (SUR);No Aplica
Posta de Salud Rural Callaqui;Alto Biobío;Calle;S/N;Sector Callaqui;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Pitril;Alto Biobío;Calle;S/N;Caserío Los Canelos;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Cayucupil;Cañete;Calle;S/N;Sector Cayucupil;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Pangueco (Cañete);Cañete;Calle;S/N;Sector Pangueco;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Pangue;Los Álamos;Calle;S/N;Sector Pague;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Alhuelemu;Mulchén;Calle;S/N;Sector Alhuelemu;Pendiente;NO;No Aplica;No Aplica
Laboratorio Clínico Bio-Test;Cañete;Calle;156-A;Lautaro;Pendiente;NO;No Aplica;No Aplica
COSAM Cañete;Cañete;Calle;464;Saavedra;412612894;NO;No Aplica;No Aplica
Posta de Salud Rural Piñiquihue;Quilaco;Calle;S/N;Sector Piñiquihue;Pendiente;NO;No Aplica;No Aplica
Policlínico Asociación Chilena de Seguridad AChS Cañete;Cañete;Calle;S/N;Acceso Norte;Pendiente;NO;No Aplica;No Aplica
Hospital Intercultural Kallvu Llanka (Cañete);Cañete;Calle;S/N;Ruta P-60-R, Esquina Ruta P-520. Entrada Norte;412724100;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural Mañihual;Mulchén;Calle;S/N;Sector Mañihual;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Loncopangue;Quilaco;Calle;S/N;Caserío de Loncopangue;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Ranquilco;Los Álamos;Calle;S/N;Sector Ranquilco;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Santa Adriana;Mulchén;Calle;S/N;Sector Santa Adriana;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Butalelbum;Alto Biobío;Calle;S/N;Sector Butalelbum;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Llenquehue;Cañete;Calle;S/N;Caserío de Llenquehue;Pendiente;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Villa La Granja;Mulchén;Calle;823;El Hualle, Villa La Granja;432332252 - Red Minsal 432252;NO;No Aplica;No Aplica
Hospital de Mulchén;Mulchén;Calle;455;Villagra;432332282;SI;Urgencia Hospitalaria (UEH);No Aplica
Centro de Diálisis Los Ángeles Sucursal Mulchén;Mulchén;Calle;310;Amunategui;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Cauñicú;Alto Biobío;Calle;S/N;Sector Cauñicú;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Rucalhue;Quilaco;Calle;S/N;Caserío de Ricalhue;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Malla Malla;Alto Biobío;Calle;S/N;Sector Malla Malla;Pendiente;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Mulchén;Mulchén;Calle;1541;Fresia;432333240;NO;No Aplica;No Aplica
Posta de Salud Rural Trapa Trapa;Alto Biobío;Calle;S/N;Sector Trapa Trapa;Pendiente;NO;No Aplica;No Aplica
Consultorio General Rural Quilaco;Quilaco;Calle;S/N;Colón Sin Número;432633614;NO;No Aplica;No Aplica
SUR Quilaco;Quilaco;Calle;S/N;Colón Sin Número;432633614;SI;Urgencia Ambulatoria (SUR);No Aplica
Posta de Salud Rural Campamento;Quilaco;Calle;S/N;Caserío de Campamento;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Pehuén;Lebu;Calle;S/N;Aldea de Pehuén;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Antihuala;Los Álamos;Calle;S/N;Pueblo de Antihuala;Pendiente;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Santa Bárbara;Santa Bárbara;Calle;218;Rosas;432333500;NO;No Aplica;No Aplica
Clínica Dental Móvil Triple. Pat. NW6995 (Santa Bárbara);Santa Bárbara;Calle;S/N;Salamanca;432581203;NO;No Aplica;No Aplica
Hospital Comunitario de Santa Bárbara;Santa Bárbara;Calle;S/N;Salamanca;432332770;SI;Urgencia Hospitalaria (UEH);No Aplica
