Nombre Oficial;Comuna;Vía;Número;Dirección;Teléfono;Tiene Servicio de Urgencia;Tipo de Urgencia;Tipo de SAPU
Posta de Salud Rural Guangualí;Los Vilos;Calle;S/N;Santiago Bueras;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Quilimarí;Los Vilos;Calle;S/N;Amador Iglesias;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Los Cóndores;Los Vilos;Calle;S/N;Camino Público;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Tilama;Los Vilos;Calle;S/N;Camino Público Tilama;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Caimanes;Los Vilos;Calle;S/N;Pedro Aguirre Cerda;Pendiente;NO;No Aplica;No Aplica
Hospital San Pedro (Los Vilos);Los Vilos;Calle;400;Arauco;532663626;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural Tranquilla;Salamanca;Calle;S/N;Aldea Tranquilla;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Cuncumén(Salamanca);Salamanca;Calle;S/N;Camino Público Cuncumén;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Camisa;Salamanca;Calle;S/N;Sector Camisa;Pendiente;NO;No Aplica;No Aplica
CESFAM Valle Alto;Salamanca;Calle;S/N;BERNARDO OHIGGINS;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Quelén Bajo;Salamanca;Calle;S/N;Camino único Quelén Bajo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Llimpo;Salamanca;Calle;S/N;Sector Llimpo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Socavón;Illapel;Calle;S/N;Sector Socavón;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Tahuinco;Salamanca;Calle;S/N;Aldea Tahuinco;Pendiente;NO;No Aplica;No Aplica
Laboratorio Clínico Astelab;Salamanca;Calle;582;Irarrázaval;532551474;NO;No Aplica;No Aplica
Hospital de Salamanca;Salamanca;Calle;113;Matilde Salamanca;532662960;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural Limáhuida;Illapel;Calle;S/N;Sector Limáhuida;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Arboleda Grande;Salamanca;Calle;S/N;Camino único Arboleda Grande;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Peralillo Illapel;Illapel;Calle;S/N;Calle única Peralillo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Cañas Uno;Illapel;Calle;S/N;Aldea Cañas Uno;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural San Agustín (Salamanca);Salamanca;Calle;S/N;Aldea San Agustín;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Cunlagua;Salamanca;Calle;S/N;Sector Cunlagua;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Pintacura Sur;Illapel;Calle;S/N;Sector Pintacura Sur;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Tunga Sur;Illapel;Calle;S/N;Sector Tunga Sur;Pendiente;NO;No Aplica;No Aplica
Servicio Médico Legal Illapel;Illapel;Avenida;150;Cuz Cuz, Villa San Rafael - Illapel;(53)2524315;NO;No Aplica;No Aplica
Centro de Salud Familiar Villa San Rafael de Rozas;Illapel;Calle;50;Mario Ahumada;532528166;NO;No Aplica;No Aplica
Centro de Salud Familiar Urbano de Illapel;Illapel;Calle;211;El Mirador;Pendiente;NO;No Aplica;No Aplica
Laboratorio Clínico Altamira;Illapel;Avenida;824;Salvador Allende, Local 02;532353081;NO;No Aplica;No Aplica
Hospital Dr. Humberto Elorza Cortés (Illapel);Illapel;Calle;512;Independencia;532663867;SI;Urgencia Hospitalaria (UEH);No Aplica
Centro de Diálisis Clinidial Illapel;Illapel;Calle;72;Freire;532522051;NO;No Aplica;No Aplica
Laboratorio Clínico Bionet S.A. - Illapel;Illapel;Calle;386;Independencia;532523846;NO;No Aplica;No Aplica
Policlínico del Trabajador AChS Illapel;Illapel;Calle;562;Independencia;532522411;NO;No Aplica;No Aplica
Posta de Salud Rural Tunga Norte;Illapel;Calle;S/N;Sector Tunga Norte;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Mincha Sur;Canela;Calle;S/N;Aldea Mincha Norte;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Cárcamo;Illapel;Calle;S/N;Sector Cárcamo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Mincha Norte;Canela;Calle;S/N;Sector Mincha Norte;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Huintil;Illapel;Calle;S/N;Sector Huintil;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Huentelauquén;Canela;Calle;S/N;Sector Huentelauquén;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Santa Virginia;Illapel;Calle;S/N;Sector Santa Virginia;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Agua Fría;Canela;Calle;S/N;Sector Agua Fría;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Matancilla;Illapel;Calle;S/N;Calle única Matancilla;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Plan de Hornos;Illapel;Calle;S/N;Sector Plan de Hornos;Pendiente;NO;No Aplica;No Aplica
SAPU Canela;Canela;Calle;495;Joel Muñoz;532540345;SI;Urgencia Ambulatoria (SAPU);Pendiente
Centro de Salud Familiar Canela;Canela;Calle;495;Joel Muñoz;532540007;NO;No Aplica;No Aplica
Posta de Salud Rural Canela Alta;Canela;Calle;S/N;Sector Canela Alta;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Quebrada Linares;Canela;Calle;S/N;Sector Quebrada Linares;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Jabonería;Canela;Calle;S/N;Sector Jabonería;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Valle Hermoso;Combarbalá;Calle;S/N;Valle Hermoso;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Los Rulos;Canela;Calle;S/N;Sector Los Rulos;Pendiente;NO;No Aplica;No Aplica
