Nombre Oficial;Comuna;Vía;Número;Dirección;Teléfono;Tiene Servicio de Urgencia;Tipo de Urgencia;Tipo de SAPU
Posta de Salud Rural El Malito;Palena;Calle;S/N;Ruta CH 235 - Km.;65-2741220;NO;No Aplica;No Aplica
Hospital de Palena;Palena;Calle;641;Pudeto;652741322;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural Puerto Ramírez;Palena;Calle;S/N;Sector Puerto Ramírez;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural El Frío o Santa Lucía;Chaitén;Calle;S/N;Sector El Frío o Santa Lucía;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Inio;Quellón;Calle;S/N;Sector Inio, parque Tantauco;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural El Azul;Futaleufú;Calle;S/N;Sector El Azul;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Piedras Blancas;Quellón;Calle;S/N;Sector Piedras Blancas;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Punta Liles o Laitec;Quellón;Calle;S/N;Sector Isla Laitec;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Punta Paula o Coldita;Quellón;Calle;S/N;Sector Isla Coldita;Pendiente;NO;No Aplica;No Aplica
Hospital de Futaleufú;Futaleufú;Calle;382;Balmaceda;652326800;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural Pelu;Quellón;Calle;S/N;Sector Isla Cailin;Pendiente;NO;No Aplica;No Aplica
Laboratorio Biolab Ltda;Quellón;Calle;202;Santos Vargas;Pendiente;NO;No Aplica;No Aplica
Laboratorio Clínico Corcovado;Quellón;Calle;380;Ignacio Carrera Pinto;Pendiente;NO;No Aplica;No Aplica
Policlínico de la AChS Quellón;Quellón;Calle;367;Ignacio Carrera Pinto;652681235;NO;No Aplica;No Aplica
Policlínico de la Mutual de Seguridad CChC Quellón;Quellón;Calle;354;Ramón Freire;652681376;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Vista Hermosa;Quellón;Calle;S/N;Las Industrias;652545188;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Rukalaf;Quellón;Pasaje;S/N;Lautaro;652545188;NO;No Aplica;No Aplica
Laboratorio Clínico MasterLab;Quellón;Calle;445;Ladrilleros;Pendiente;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Villa Aytue;Quellón;Calle;288;Los Caciques;Pendiente;NO;No Aplica;No Aplica
Hospital de Quellón;Quellón;Calle;305;Dr. Ahues;652326632;SI;Urgencia Hospitalaria (UEH);No Aplica
Centro de Salud Familiar Quellón;Quellón;Calle;590;Galvarino Riveros;652683507;NO;No Aplica;No Aplica
Posta de Salud Rural Yaldad;Quellón;Calle;S/N;Sector Yaldad;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural El Espolón;Futaleufú;Calle;S/N;Sector El Espolón;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Candelaria (Quellón);Quellón;Calle;S/N;Sector Candelaria;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Chaullín;Quellón;Calle;S/N;Sector Isla Chaullín;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Coinco;Quellón;Calle;S/N;Sector Coinco;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Curanue;Quellón;Calle;S/N;Sector Curanué;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Auchac;Quellón;Calle;S/N;Sector Auchac;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Alqui;Queilén;Calle;S/N;Sector Alqui;652611608;NO;No Aplica;No Aplica
Posta de Salud Rural San Juan de Chadmo;Quellón;Calle;S/N;Sector San Juan de Chadmo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Nepúe;Queilén;Calle;S/N;Sector Nepué;652611608;NO;No Aplica;No Aplica
Posta de Salud Rural San José;Queilén;Calle;S/N;Sector Rural San José. Isla Tranqui;652611608;NO;No Aplica;No Aplica
Posta de Salud Rural Chadmo Central;Quellón;Calle;S/N;Sector Chadmo Central;Pendiente;NO;No Aplica;No Aplica
Hospital de Chaitén;Chaitén;Calle;153;Ignacio Carrera Pinto;652731344;SI;Urgencia Hospitalaria (UEH);No Aplica
Hospital Comunitario de Queilén;Queilén;Calle;331;Rene Cárcamo;652328820;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural Compu;Quellón;Calle;S/N;Sector Compu;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Pureo;Queilén;Calle;S/N;Sector Pureo;652611608;NO;No Aplica;No Aplica
Posta de Salud Rural Natri;Chonchi;Calle;S/N;Sector Natri;967620253;NO;No Aplica;No Aplica
Posta de Salud Rural de CONTUY;Queilén;Calle;S/N;Localidad de Contuy;652611608;NO;No Aplica;No Aplica
Posta de Salud Rural Apeche;Queilén;Calle;S/N;Sector Apeche;652611608;NO;No Aplica;No Aplica
Posta de Salud Rural Pío - Pío;Queilén;Calle;S/N;Sector Pío - Pío;652611608;NO;No Aplica;No Aplica
Posta de Salud Rural Agoni Alto;Queilén;Calle;S/N;Sector Agoni Alto;652611608;NO;No Aplica;No Aplica
Posta de Salud Rural Pulpito;Chonchi;Calle;S/N;Sector Pulpito;967621302;NO;No Aplica;No Aplica
Posta de Salud Rural Chana;Chaitén;Calle;S/N;Caserío de Chana;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Talcán;Chaitén;Calle;S/N;Sector Talcán;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Terao;Chonchi;Calle;S/N;Sector Terao;967620253;NO;No Aplica;No Aplica
Posta de Salud Rural Nayahue;Chaitén;Calle;S/N;Sector Nayahue - Auteni;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Detif;Puqueldón;Calle;S/N;Caserío de Detif;Pendiente;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Huillinco;Chonchi;Calle;S/N;Huillinco;962098355;NO;No Aplica;No Aplica
Posta de Salud Rural Liucura (Puqueldón);Puqueldón;Calle;S/N;Caserío de Liucura;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Cucao;Chonchi;Calle;S/N;Sector Cucao;967621307;NO;No Aplica;No Aplica
Posta de Salud Rural Capilla Antigüa;Quinchao;Calle;S/N;Isla Chaulinec Sector Capilla antigua;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Chulín;Chaitén;Calle;S/N;Sector Chulín;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Chaulinec La Villa;Quinchao;Calle;S/N;Sector la Villa, Isla Chaulinec;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Chonchi;Chonchi;Calle;S/N;Chonchi;652671643;NO;No Aplica;No Aplica
SUR Chonchi;Chonchi;Calle;S/N;Chonchi;Pendiente;SI;Urgencia Ambulatoria (SUR);No Aplica
Posta de Salud Rural Petanes Bajos;Chonchi;Calle;S/N;Sector Petantes Bajos;967621306;NO;No Aplica;No Aplica
Posta de Salud Rural Ichuac;Puqueldón;Calle;S/N;Caserío de Ichuac;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Quehui;Castro;Calle;S/N;Sector Quehui;975591391;NO;No Aplica;No Aplica
Posta de Salud Rural Chanquín;Chonchi;Calle;S/N;Sector Chanquín;967620254;NO;No Aplica;No Aplica
Posta de Salud Rural Isla Alao;Quinchao;Calle;S/N;Sector Isla Alao;Pendiente;NO;No Aplica;No Aplica
SUR Puqueldón;Puqueldón;Calle;S/N;Puqueldón;Pendiente;SI;Urgencia Ambulatoria (SUR);No Aplica
Centro de Salud Familiar Puqueldón;Puqueldón;Calle;S/N;Puqueldón;652250193;NO;No Aplica;No Aplica
