Nombre Oficial;Comuna;Vía;Número;Dirección;Teléfono;Tiene Servicio de Urgencia;Tipo de Urgencia;Tipo de SAPU
Posta de Salud Rural Mantilhue;Río Bueno;Calle;S/N;Sector Mantilhue;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Carimallín;Río Bueno;Calle;S/N;Sector Carimallín;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Futahuente;Río Bueno;Calle;S/N;Caserío de Futahuente;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Crucero (Río Bueno);Río Bueno;Calle;S/N;Aldea de Crucero;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Trapi;Río Bueno;Calle;S/N;Caserío de Trapi;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Vivanco;Río Bueno;Calle;S/N;Aldea de Vivanco;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Pocura;Lago Ranco;Calle;S/N;Sector Polcura;Pendiente;NO;No Aplica;No Aplica
Laboratorio Clínico Suranálilsis Ltda.;Río Bueno;Calle;766;Comercio;642341670;NO;No Aplica;No Aplica
SAPU Río Bueno;Río Bueno;Calle;1500;Ejército Libertador;642344550;SI;Urgencia Ambulatoria (SAPU);Corto
Centro de Salud Familiar Río Bueno;Río Bueno;Calle;1500;Ejército Libertador;642344551;NO;No Aplica;No Aplica
Policlínico de Atención Primaria Gendarmería de Chile;Río Bueno;Calle;655;Ejército Libertador;642341344;NO;No Aplica;No Aplica
Hospital de Río Bueno;Río Bueno;Calle;1521;Ejército Libertador;642335350;SI;Urgencia Hospitalaria (UEH);No Aplica
Centro de Salud AChS Río Bueno;Río Bueno;Calle;970;Independencia;632341740;NO;No Aplica;No Aplica
Centro Clínico Dental Bio Spa;Río Bueno;Calle;518;Manuel Rodríguez;987518372;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Riñinahue;Lago Ranco;Calle;S/N;Ruta T-85, Localidad de Riñinahue;Pendiente;NO;No Aplica;No Aplica
SAPU Ranco;Lago Ranco;Calle;662;Concepción;632491504;SI;Urgencia Ambulatoria (SAPU);Corto
Centro de Salud Familiar Juan Santa María Bonet;Lago Ranco;Calle;655;Concepción;632491505;NO;No Aplica;No Aplica
Posta de Salud Rural Llancacura;La Unión;Calle;S/N;Caserío de Llancacura;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Rupumeica Bajo;Lago Ranco;Calle;S/N;Sector Rupumeica;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Mashue;La Unión;Calle;S/N;Caserío de Mashue;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Cayurruca;Río Bueno;Calle;S/N;Caserío de Cuyurruca;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Dr. Alfredo Gantz Mann;La Unión;Calle;55;Los Tineos;632336770;NO;No Aplica;No Aplica
SAR La Unión;La Unión;Calle;570;Padre Hurtado;647410;SI;Urgencia ambulatoria (SAR);No Aplica
Centro Comunitario de Salud Familiar Dr. Alberto Daiber;La Unión;Calle;220;Romualdo Roldan Catalán;647408;NO;No Aplica;No Aplica
Centro de Salud Mutual CChC La Unión;La Unión;Avenida;455;Arturo Prat;642322070;NO;No Aplica;No Aplica
Laboratorio Austral Ltda.;La Unión;Calle;455;Arturo Prat;642323055;NO;No Aplica;No Aplica
Clínica del Trabajador AChS;La Unión;Calle;260;Comercio;642322875;NO;No Aplica;No Aplica
Sociedad Laboratorio Clínico Unión Ltda.;La Unión;Calle;225;Cayetano Letelier;642426044;NO;No Aplica;No Aplica
Centro de Atención Odontológica La Unión;La Unión;Calle;225;Cayetano Letelier, local 2;642324488;NO;No Aplica;No Aplica
Clínica Alcudia;La Unión;Calle;214;Cayetano Letelier;642220070;NO;No Aplica;No Aplica
Clínica Oro Odontología Especializada;La Unión;Avenida;662;Arturo Prat;934285920;NO;No Aplica;No Aplica
Laboratorio Beneficiencia Osorno;La Unión;Calle;883;Arturo Prat;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Pilpilcahuín;La Unión;Calle;S/N;Caserío de Pilpilcahuín;Pendiente;NO;No Aplica;No Aplica
CLINICA CUMBRES Salud;La Unión;Calle;1100;ARTURO PRAT 1100;(64) 2325328  ;NO;No Aplica;No Aplica
Hospital Juan Morey (La Unión);La Unión;Calle;S/N;Arturo Prat;642335200;SI;Urgencia Hospitalaria (UEH);No Aplica
Centro Comunitario de Salud Familiar Los Lagos;La Unión;Calle;1017;Puyehue;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Pitriuco;Lago Ranco;Calle;S/N;Sector Pitriuco;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Traiguén ( La Unión);La Unión;Calle;S/N;Caserío de Traiguén;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Illahuape;Lago Ranco;Calle;S/N;Sector Illahupe;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Maihue;Futrono;Calle;S/N;Sector Maihue;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Puerto Nuevo;La Unión;Calle;S/N;Aldea de Puerto Nuevo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Calcurrupe;Lago Ranco;Calle;S/N;Sector Calcurrupe;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Huapi;Futrono;Calle;S/N;Sector Huapi;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Los Esteros;La Unión;Calle;S/N;Aldea de Los Esteros;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Choroico (La Unión);La Unión;Calle;S/N;Aldea de Chorico;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Llifén;Futrono;Calle;S/N;Pueblo de Llifén;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Arquilhue;Futrono;Calle;S/N;Sector Curiñanco - Niebla;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Santa Rosa (Paillaco);Paillaco;Calle;S/N;Caserío de Santa Rosa;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Santa Elisa;La Unión;Calle;S/N;Caserío de Santa Elisa;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Catamutún;La Unión;Calle;S/N;Sector Catamutún;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Pichirropulli;Paillaco;Calle;S/N;Aldea de Pichirropulli;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Belarmina Paredes;Futrono;Calle;S/N;Acharan Arce;632264591;NO;No Aplica;No Aplica
SAPU Belarmina Paredes;Futrono;Calle;305;German Riesco;632481079;SI;Urgencia Ambulatoria (SAPU);Corto
Posta de Salud Rural Santa Filomena (Paillaco);Paillaco;Calle;S/N;Sector Santa Filomenta;Pendiente;NO;No Aplica;No Aplica
SAPU Paillaco;Paillaco;Calle;709;Barros Arana;632421292;SI;Urgencia Ambulatoria (SAPU);Corto
Hospital de Paillaco;Paillaco;Calle;715;Gabriela Mistral;632264200;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural Aguas Negras;Paillaco;Calle;S/N;Caserío de Aguas Negras;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Lautaro Caro Ríos;Paillaco;Calle;S/N;Mac-Iver;632264500;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Nontuela (Enrique Strange);Futrono;Calle;S/N;Bellavista esquina Estadio, Sector Nontuela;632481079;NO;No Aplica;No Aplica
Posta de Salud Rural Pirihueico;Panguipulli;Calle;S/N;Caserío de Pirihueico;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Loncopán;Futrono;Calle;S/N;Caserío de Loncopán;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Reumén;Paillaco;Calle;S/N;Aldea de Reumén;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Pellinada;Los Lagos;Calle;S/N;Parcela 5, Sector Pellinada Grande;632460305;NO;No Aplica;No Aplica
Posta de Salud Rural Morrompulli;Valdivia;Calle;S/N;Sector Morropulli;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural El Salto;Los Lagos;Calle;S/N;Sector El Salto;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Chaihuín;Corral;Calle;S/N;Caserío Caleta Chaihuin;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Las Huellas;Los Lagos;Calle;S/N;Sector La Huellas;Pendiente;NO;No Aplica;No Aplica
Hospital de Corral;Corral;Avenida;200;Marinero Segundo Elías Huerta;632265580;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural Isla del Rey;Corral;Calle;S/N;Isla del Rey;Pendiente;NO;No Aplica;No Aplica
SAPU Niebla;Valdivia;Calle;S/N;Martín Sermeño;632282037;SI;Urgencia Ambulatoria (SAPU);Corto
