Nombre Oficial;Comuna;Vía;Número;Dirección;Teléfono;Tiene Servicio de Urgencia;Tipo de Urgencia;Tipo de SAPU
Hospital Comunitario Cristina Calderón de Puerto Williams;Cabo de Hornos;Calle;246;O'Higgins;612453636;SI;Urgencia Hospitalaria (UEH);No Aplica
Hospital Naval (Puerto Williams);Cabo de Hornos;Calle;56;Mc Intyre, Puerto Williams;612624328;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural Cameron;Timaukel;Calle;S/N;Caserío de Camerón;74613302;NO;No Aplica;No Aplica
Posta de Salud Rural Agua Fresca;Punta Arenas;Calle;S/N;Caserío de Agua Fresca;612260555;NO;No Aplica;No Aplica
Hospital Dr. Marco Antonio Chamorro ( Porvenir);Porvenir;Calle;480;Carlos Wood;612291800;SI;Urgencia Hospitalaria (UEH);No Aplica
Servicio Dental 3ra. Comisaría de Carabineros de Porvenir (Consultorio tipo 2);Porvenir;Calle;880;Chiloé;612761182;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Dr. Juan Damianovic;Punta Arenas;Calle;370;Linao;Pendiente;NO;No Aplica;No Aplica
Complejo Miraflores (Salud Mental);Punta Arenas;Calle;825;Las Heras;611739 RED MINSAL;NO;No Aplica;No Aplica
COSAM Punta Arenas;Punta Arenas;Calle;225;Junta de Gobierno;612291250;NO;No Aplica;No Aplica
SAR Dr. Juan Damianovic;Punta Arenas;Calle;2850;Zenteno;612260555;SI;Urgencia ambulatoria (SAR);No Aplica
Centro de Salud Familiar Dr. Juan Damianovic;Punta Arenas;Calle;1102;Zenteno;800500988;NO;No Aplica;No Aplica
Centro de Salud Mutual CChC Punta Arenas;Punta Arenas;Avenida;1890;España;612207800;NO;No Aplica;No Aplica
Laboratorio Clínico de Agostini y Cia. Ltda.;Punta Arenas;Calle;472;Perez de Arce;612244454;NO;No Aplica;No Aplica
Laboratorio Clínico Corporación Municipal Punta Arenas;Punta Arenas;Calle;1890;España;Pendiente;NO;No Aplica;No Aplica
Unidad de Salud Funcionario S.S Magallanes;Punta Arenas;Calle;1228;Lautaro Navarro;Pendiente;NO;No Aplica;No Aplica
Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Magallanes);Punta Arenas;Calle;1228;Lautaro Navarro;Pendiente;NO;No Aplica;No Aplica
PRAIS (S.S Magallanes);Punta Arenas;Calle;1228;Lautaro Navarro;Pendiente;NO;No Aplica;No Aplica
SAPU 18 de Septiembre;Punta Arenas;Calle;1893;Mateo de Toro y Zambrano;612260730;SI;Urgencia Ambulatoria (SAPU);Corto
Centro de Salud Familiar 18 Septiembre;Punta Arenas;Calle;1893;Mateo de Toro y Zambrano;800500986;NO;No Aplica;No Aplica
Vacunatorio SEREMI de Salud Magallanes;Punta Arenas;Calle;756;Balmaceda;612291374;NO;No Aplica;No Aplica
Clínica de Recuperación Hogar de Cristo Juan Pablo II;Punta Arenas;Calle;736;Balmaceda;612242215;NO;No Aplica;No Aplica
Centro Diagnóstico Clinica Magallanes;Punta Arenas;Calle;890;Presidente Pedro Montt;Pendiente;NO;No Aplica;No Aplica
Centro Médico y Dental MegaSalud S.A Punta Arenas;Punta Arenas;Calle;890;Puerto Montt;612241110;NO;No Aplica;No Aplica
Laboratorio Magallanes;Punta Arenas;Avenida;1040-D;Cristobal Colón;612244454;NO;No Aplica;No Aplica
Laboratorio Clínico Medi-Lab S.A;Punta Arenas;Calle;504;Monseñor Fagnano;61-2615165;NO;No Aplica;No Aplica
Centro Médico Medvital;Punta Arenas;Calle;1057;Armando Sanhueza;612235485;NO;No Aplica;No Aplica
Policlínico de la Fuerzas Armadas y de Orden;Punta Arenas;Calle;611;José Menendez;612241206;NO;No Aplica;No Aplica
Clínica Croacia;Punta Arenas;Calle;1053;Sarmiento;612228903;NO;No Aplica;No Aplica
Instituto Médico Sarmiento;Punta Arenas;Calle;607;Sarmiento;612238587;NO;No Aplica;No Aplica
Centro de Salud Familiar Carlos Ibáñez;Punta Arenas;Avenida;S/N;Eduardo Frei;800500987;NO;No Aplica;No Aplica
SAPU Carlos Ibañez;Punta Arenas;Avenida;1102;Frei;612281443-612282579;SI;Urgencia Ambulatoria (SAPU);Corto
Servicio Médico Legal Punta Arenas;Punta Arenas;Calle;170;Lautaro Navarro;(61)247011;NO;No Aplica;No Aplica
Central Odontológica de Magallanes de 3era Zona Naval;Punta Arenas;Avenida;256;Bulnes;612207511;NO;No Aplica;No Aplica
Hospital FFAA Cirujano Guzmán;Punta Arenas;Avenida;256;Bulnes;612207500;SI;Urgencia Hospitalaria (UEH);No Aplica
Centro Diurno (pertenece a SENAMA);Punta Arenas;Avenida;862;Eduardo Frei Montalva;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Dr. Thomas Fenton;Punta Arenas;Calle;762;Prolongación Velastegui;800500989;NO;No Aplica;No Aplica
Centro de Rehabilitación Club de Leones Cruz del Sur;Punta Arenas;Calle;1411;Suiza;612217396;NO;No Aplica;No Aplica
Centro de Salud Familiar Dr. Mateo Bencur;Punta Arenas;Calle;781;Capitán Guillermo;800500990;NO;No Aplica;No Aplica
SAPU Dr. Mateo Bencur;Punta Arenas;Calle;781;Capitán Guillermo;612210142;SI;Urgencia Ambulatoria (SAPU);Corto
Clínica Manantiales;Punta Arenas;Calle;891;Antonio Maichil;Pendiente;NO;No Aplica;No Aplica
Policlínico AChS (Punta Arenas);Punta Arenas;Avenida;0148-A;Presidente Manuel Bulnes;612206400;NO;No Aplica;No Aplica
Clínica Magallanes;Punta Arenas;Avenida;1448;Bulnes;612227301;SI;Urgencia Hospitalaria (UEH);No Aplica
Centro de Atención Instituto de Seguridad del Trabajador Punta Arenas;Punta Arenas;Avenida;1643;Bulnes;612210738;NO;No Aplica;No Aplica
UMAG (pertenece a la Facultad de Ciencias de la Salud);Punta Arenas;Avenida;1855;Pdte. Manuel Bulnes;Pendiente;NO;No Aplica;No Aplica
Clínica IMET;Punta Arenas;Avenida;4236;Presidente Manuel Bulnes;612363000;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Dr. Mateo Bencur;Punta Arenas;Calle;1814;Juan Ruiz García;612215133;NO;No Aplica;No Aplica
Hospital Clínico de Magallanes Dr. Lautaro Navarro Avaria;Punta Arenas;Calle;1364;Los Flamencos;612293000;SI;Urgencia Hospitalaria (UEH);No Aplica
Centro Comunitario de Salud Familiar Río Seco;Punta Arenas;Calle;S/N;Sector Río Seco;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Río Verde;Río Verde;Calle;S/N;Caserío de Río Verde;95556218;NO;No Aplica;No Aplica
Posta de Salud Rural Tehuelches;Laguna Blanca;Calle;S/N;Caserío de Villa Tehuenches;88292090;NO;No Aplica;No Aplica
Posta de Salud Rural Punta Delgada;San Gregorio;Calle;S/N;Sector Punta Delgada;90259359;NO;No Aplica;No Aplica
Servicio Médico Legal Puerto Natales;Natales;Avenida;1710;Carlos Ibáñez;(61)415865;NO;No Aplica;No Aplica
Laboratorio Clínico Biohealth;Natales;Calle;781;Baquedano;962170366;NO;No Aplica;No Aplica
Hospital Dr. Augusto Essmann Burgos ( Natales);Natales;Calle;537;Ignacio Carrera Pinto;612291012;SI;Urgencia Hospitalaria (UEH);No Aplica
Centro de Salud Familiar Natales;Natales;Calle;S/N;Javiera Carrera;612411000;NO;No Aplica;No Aplica
"SAPU ""Dr. Juan Lozic Perez""";Natales;Calle;S/N;Javiera Carrera;612411000;SI;Urgencia Ambulatoria (SAPU);Corto
Policlínico de Asociación Chilena de Seguridad;Natales;Calle;230;Baquedano;Pendiente;NO;No Aplica;No Aplica
Laboratorio Clínico Austral;Natales;Calle;29;Tomás Rogers;410996;NO;No Aplica;No Aplica
Posta de Salud Rural Dorotea;Natales;Calle;S/N;Caserío de Villa Dorotea;63945987;NO;No Aplica;No Aplica
Oficina Sanitaria Dorotea;Natales;Calle;S/N;Puesto Fronterizo Dorotea;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Cerro Castillo (Torres del Paine);Torres del Paine;Calle;S/N;Caserío de Cerro Castillo;95838851;NO;No Aplica;No Aplica
Posta de Salud Rural Puerto Edén;Natales;Calle;S/N;Caserío de Villa Puerto Edén;57380761;NO;No Aplica;No Aplica
