Nombre Oficial;Comuna;Vía;Número;Dirección;Teléfono;Tiene Servicio de Urgencia;Tipo de Urgencia;Tipo de SAPU
Posta de Salud Rural Villa Baviera;Parral;Calle;S/N;Camino a Catillo;Pendiente;NO;No Aplica;No Aplica
Laboratorio Clínico Perquilauquén;Parral;Calle;6;Parcela, Villa Baviera;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Los Canelos (Parral);Parral;Calle;S/N;Caserío Los Canelos;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Bullileo;Parral;Calle;S/N;Caserío Bullileo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Bajos de Huenutil;Parral;Calle;S/N;Caserío Bajos de Huenutil;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Catillo;Parral;Calle;S/N;Caserío Cruce Catillo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Digua;Parral;Calle;S/N;Caserío Digua;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Monte Flor;Parral;Calle;S/N;Sector Monte Flor;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural San Alejo;Parral;Camino;27;Camino público, Sector San Alejo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Talquita;Parral;Calle;S/N;Caserío Talquita;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Los Carros;Parral;Calle;S/N;Sector Los Carros;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Perquilauquén;Parral;Calle;S/N;Caserío Perquilauquén;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Loma de Vásquez;Longaví;Calle;S/N;Caserío Loma de Vásquez;Pendiente;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Camelias;Retiro;Calle;S/N;Camino a la Montaña, Las Camelias;732971043;NO;No Aplica;No Aplica
Posta de Salud Rural La Orilla (Parral);Parral;Calle;S/N;Aldea La Orilla;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Fuerte Viejo;Parral;Calle;S/N;Sector Fuerte Viejo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Pocillas;Cauquenes;Calle;S/N;Caserío Pocillas;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural San Marcos (Retiro);Retiro;Calle;S/N;Camino a la Montaña San Marcos;98426610;NO;No Aplica;No Aplica
Posta de Salud Rural San José (Longaví);Longaví;Calle;S/N;Sector San José;Pendiente;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Los Olivos;Parral;Calle;S/N;Delicias Sur;732462559;NO;No Aplica;No Aplica
Centro de Salud Familiar Arrau Méndez;Parral;Calle;S/N;Cayetano Landaeta;732463563;NO;No Aplica;No Aplica
Posta de Salud Rural Tres Esquinas (Cauquenes);Cauquenes;Calle;S/N;Caserío Tres Esquinas;Pendiente;NO;No Aplica;No Aplica
SAR Parral;Parral;Calle;149;Delicias;Pendiente;SI;Urgencia ambulatoria (SAR);No Aplica
Posta de Salud Rural Santa Delfina;Retiro;Calle;S/N;Caserío Santa Delfina;732971040;NO;No Aplica;No Aplica
Laboratorio Clínico Tecnoanálisis;Parral;Calle;411;Buin;Pendiente;NO;No Aplica;No Aplica
Hospital San José (Parral);Parral;Calle;1255;Aníbal Pinto;732566887;SI;Urgencia Hospitalaria (UEH);No Aplica
Laboratorio Clínico y Centro Médico Dr. Araya;Parral;Calle;330;Buin;Pendiente;NO;No Aplica;No Aplica
Servicio Médico Legal Parral;Parral;Calle;1465;Pablo Neruda;(73)464941;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Los Robles;Retiro;Calle;S/N;Los Robles;732971051;NO;No Aplica;No Aplica
Laboratorio Perquilauquen;Parral;Parcela N°6 Villa Babiera;440;Balmaceda;732210633;NO;No Aplica;No Aplica
