Nombre Oficial;Comuna;Vía;Número;Dirección;Teléfono;Tiene Servicio de Urgencia;Tipo de Urgencia;Tipo de SAPU
Sala de procedimientos Embalse;Alhué;Avenida;S/N;Calle Loncha;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Villa Alhué;Alhué;Calle;440;21 de Mayo;"226125201; 226125222";NO;No Aplica;No Aplica
SUR Villa Alhué;Alhué;Calle;S/N;21 de Mayo;225760105;SI;Urgencia Ambulatoria (SUR);No Aplica
Posta de Salud Rural Aliro Cárcarmo (Lonquén);Talagante;Calle;S/N;Balmaceda;228559304;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Hacienda Alhué;Alhué;Calle;S/N;Camino público a Villa Alhué - Hacienda Alhué;945155265;NO;No Aplica;No Aplica
Posta de Salud Rural Bollenar;Melipilla;Avenida;S/N;Valparaíso s;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Chorombo;Maria Pinto;Calle;S/N;Sector Chorombo Alto;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural El Asiento;Alhué;Calle;S/N;Aldea El Asiento;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural El Prado;San Pedro;Calle;S/N;Aldea El Prado;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Gacitúa;Isla de Maipo;Calle;S/N;Sector Gacitúa Pobl. Gacitúa;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Chada;Paine;Calle;S/N;Camino Vec. Interior;229363380;NO;No Aplica;No Aplica
Centro de Salud Familiar San Pedro;San Pedro;Avenida;11;Hermosilla;228326747;NO;No Aplica;No Aplica
SUR San Pedro;San Pedro;Avenida;11;Hermosilla;228326747;SI;Urgencia Ambulatoria (SUR);No Aplica
Posta de Salud Rural Pintué;Paine;Avenida;S/N;Alfonso Letelier;229363355;NO;No Aplica;No Aplica
Centro de Salud Familiar Dr. Raúl Moya;Paine;Calle;S/N;Diego Portales;29363340 - 29363341;NO;No Aplica;No Aplica
SUR Dr. Raúl Moya;Paine;Calle;S/N;Diego Portales;29363340 - 29363341;SI;Urgencia Ambulatoria (SUR);No Aplica
Posta de Salud Rural Abrantes;Paine;Avenida;S/N;Alfonso Letelier;229363350;NO;No Aplica;No Aplica
Posta de Salud Rural Rangue;Paine;Avenida;S/N;Alfonso Letelier;229363360;NO;No Aplica;No Aplica
Posta de Salud Rural Huelquén;Paine;Calle;S/N;Sta. Filomena;229363365-229363366;NO;No Aplica;No Aplica
Posta de Salud Rural El Volcán;San José de Maipo;Calle;S/N;Camino El Volcán;Pendiente;NO;No Aplica;No Aplica
Centro Asistencial AChS Paine;Paine;Avenida;128;Presidente Prieto;228242564;NO;No Aplica;No Aplica
SAPU Paine;Paine;Calle;118;José Joaquín Prieto;228241156;SI;Urgencia Ambulatoria (SAPU);Corto
Centro de Salud Santa Catalina Salud Paine;Paine;Calle;57;Raúl Sánchez Cerda;56 993009676;NO;No Aplica;No Aplica
Posta de Salud Rural Valdivia de Paine;Buin;Calle;S/N;Manuel Rodríguez;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Mutual CChC Paine;Paine;Calle;610-620;General Baquedano;228242146;NO;No Aplica;No Aplica
Centro de Salud Familiar Dr. Miguel Ángel Solar (ex CESFAM Paine);Paine;Avenida;214;General Baquedano;29363320 - 29363321 - 29363322;NO;No Aplica;No Aplica
Posta de Salud Rural La Manga;San Pedro;Calle;S/N;Sector La Manga;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural San Gabriel;San José de Maipo;Calle;41687;Los Rodados;228611836;NO;No Aplica;No Aplica
Posta de Salud Rural Viluco;Buin;Calle;S/N;Camino Público Viluco;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar San Manuel;Melipilla;Calle;S/N;Camino San Manuel S/N Ruta      G-668;225745500;NO;No Aplica;No Aplica
