Nombre Oficial;Comuna;Vía;Número;Dirección;Teléfono;Tiene Servicio de Urgencia;Tipo de Urgencia;Tipo de SAPU
Centro de Salud Familiar Campanario;Yungay;Calle;S/N;Argentina;421970734;NO;No Aplica;No Aplica
Hospital Comunitario de Salud Familiar Pedro Morales Campos (Yungay);Yungay;Calle;658;Angamos;422585736;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural San Antonio (Yungay);Yungay;Calle;S/N;Sector San Antonio;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Cartago;Pemuco;Calle;S/N;Sector Cartago;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Chamizal;El Carmen;Calle;S/N;Sector Chamizal;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Castañal;El Carmen;Calle;S/N;Sector Castañal;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Pemuco;Pemuco;Calle;1086;Padre Jorge Herrera;422653041;NO;No Aplica;No Aplica
SUR Pemuco;Pemuco;Calle;1086;Padre Jorge Herrera;422653041;SI;Urgencia Ambulatoria (SUR);No Aplica
Posta de Salud Rural Capilla Sur;El Carmen;Calle;S/N;Sector Capilla Sur;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Gral. Cruz;Pemuco;Calle;S/N;Aldea General Cruz;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Trehualemu;El Carmen;Calle;S/N;Sector Trehualemu;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Chancal;Quillón;Calle;S/N;Sector Chancal;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Capilla Norte;El Carmen;Calle;S/N;Sector Capilla Norte;Pendiente;NO;No Aplica;No Aplica
Hospital Comunitario de Salud Familiar de El Carmen;El Carmen;Calle;448;Isabel Riquelme;422585710;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural Huemul;El Carmen;Calle;S/N;Sector Huemul;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Agua Santa;El Carmen;Calle;S/N;Sector Agua Santa;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Liucura Alto;Quillón;Calle;S/N;Sector Liucura Alto;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Pueblo Seco;San Ignacio;Calle;S/N;Pueblo Seco;Pendiente;NO;No Aplica;No Aplica
