Nombre Oficial;Comuna;Vía;Número;Dirección;Teléfono;Tiene Servicio de Urgencia;Tipo de Urgencia;Tipo de SAPU
Posta de Salud Rural Huemul (Chimbarongo);Chimbarongo;Calle;S/N;Caserío Huemul del Medio;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Ranguil;Lolol;Calle;S/N;Caserío Ranguil;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural El Membrillo;Lolol;Calle;S/N;Caserío El Membrillo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Peor Es Nada;Chimbarongo;Calle;S/N;Peor Es Nada;722923125;NO;No Aplica;No Aplica
Posta de Salud Rural Codegua;Chimbarongo;Calle;S/N;Aldea de Codegua;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural San Pedro de Alcántara;Paredones;Calle;S/N;Aldea San Pedro de Alcántara;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Auquinco;Chepica;Calle;S/N;Pueblo Auquinco;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Candelaria ( Chépica);Chepica;Calle;S/N;Caserío Candelaria;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Orilla de Auquinco;Chepica;Calle;S/N;Orilla de Auquinco, Pueblo de Auquinco;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Chépica;Chepica;Calle;S/N;18 de Septiembre;722817229;NO;No Aplica;No Aplica
SUR Chépica;Chepica;Calle;S/N;18 de Septiembre;722817229;SI;Urgencia Ambulatoria (SUR);No Aplica
Hospital de Lolol;Lolol;Calle;35;Los Alerces;722337800;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural La Cabaña;Lolol;Calle;S/N;Sector la Cabaña;Pendiente;NO;No Aplica;No Aplica
Laboratorio Clínico Salud Plus;Chimbarongo;Calle;11;Blanco Encalada;Pendiente;NO;No Aplica;No Aplica
Centro de Diálisis San José Chimbarongo;Chimbarongo;Calle;3;Arturo Prat;Pendiente;NO;No Aplica;No Aplica
Hospital Mercedes de Chimbarongo;Chimbarongo;Calle;33;Arturo Prat;722338675;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural San Juan de La Sierra;Chimbarongo;Calle;S/N;Caserío San Juan de la Sierra;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Quinahue;Santa Cruz;Calle;S/N;Aldea Quinahue;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Puente Negro;San Fernando;Calle;S/N;Camino Internacional, Aldea Puente Negro;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Puquillay Bajo;Nancagua;Calle;S/N;Aldea Puquillay Bajo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Puquillay Alto;Nancagua;Calle;S/N;Ignacio Valdés;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Guindo Alto;Santa Cruz;Calle;S/N;Guindo Alto, Caserío Camino al Guindo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Nilahue Cornejo;Pumanque;Calle;S/N;Aldea Nilahue Cornejo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural La Dehesa;Placilla;Calle;S/N;Aldea La Dehesa;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Tinguiririca;Chimbarongo;Calle;S/N;Manuel Rodríguez, Pueblo Tinguiririca;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Cunaco;Nancagua;Calle;S/N;Pueblo de Cunaco;Pendiente;NO;No Aplica;No Aplica
Hospital de Nancagua;Nancagua;Calle;464;18 de Septiembre;722337500;SI;Urgencia Hospitalaria (UEH);No Aplica
Posta de Salud Rural Agua Buena;San Fernando;Calle;S/N;J. Fernández;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Bucalemu (Paredones);Paredones;Calle;S/N;Pueblo de Bucalemu;Pendiente;NO;No Aplica;No Aplica
Laboratorio Clínico Análisis;Santa Cruz;Calle;180;J.J. Carvacho;722825396;NO;No Aplica;No Aplica
Centro de Salud Familiar Paredones;Paredones;Avenida;84;Dr. Moore;722336284;NO;No Aplica;No Aplica
SUR Paredones;Paredones;Avenida;84;Dr. Moore;722336284;SI;Urgencia Ambulatoria (SUR);No Aplica
Policlínico de la Asociación Chilena de Seguridad AChS Santa Cruz;Santa Cruz;Avenida;101;José Jesús Carvacho;722822051;NO;No Aplica;No Aplica
CENTRO CLINICO SANFURGO;Santa Cruz;Calle;184;J.J. CARVAHO 184;722825396;NO;No Aplica;No Aplica
Centro Médico y Laboratorio Clínico Santa Cruz;Santa Cruz;Calle;124;Rafael Casanova;722821445;NO;No Aplica;No Aplica
Laboratorio Centrolab;Santa Cruz;Calle;80;Claudio Cancino;722821676;NO;No Aplica;No Aplica
COSAM Santa Cruz;Santa Cruz;Pasaje;125;Los Língues;722822907;NO;No Aplica;No Aplica
Consultorio Placilla (Placilla);Placilla;Calle;84;Oscar Gajardo;722337491;NO;No Aplica;No Aplica
SUR Placilla;Placilla;Calle;84;Oscar Gajardo;722337491;SI;Urgencia Ambulatoria (SUR);No Aplica
Centro Médico Monte Vital;Santa Cruz;Calle;185;Aviador Acevedo;722823457;NO;No Aplica;No Aplica
Centro de Diálisis A y R;Santa Cruz;Avenida;894;Federico Errazurriz;Pendiente;NO;No Aplica;No Aplica
Servicio Medico Legal Santa Cruz;Santa Cruz;Avenida;961;Errázuriz;722931002;NO;No Aplica;No Aplica
SAR Santa Cruz;Santa Cruz;Calle;250;Cabello;Pendiente;SI;Urgencia ambulatoria (SAR);No Aplica
Hospital de Santa Cruz;Santa Cruz;Avenida;921;Federico Errázuriz;722332273;SI;Urgencia Hospitalaria (UEH);No Aplica
Centro de Salud Familiar Santa Cruz;Santa Cruz;Avenida;625;Diego Portales;722335550;NO;No Aplica;No Aplica
Centro de Diálisis Santa Cruz;Santa Cruz;Calle;224;Díaz Besoain;Pendiente;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Paniahue;Santa Cruz;Calle;360;Camilo Henríquez, Paniahue;722824898;NO;No Aplica;No Aplica
Posta de Salud Rural Yáquil;Nancagua;Calle;S/N;Aldea Yáquil;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Apalta;Santa Cruz;Calle;S/N;Sector Apalta;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Lo Moscoso;Placilla;Calle;S/N;Aldea Lo Moscoso;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Oriente de San Fernando;San Fernando;Calle;S/N;José Miguel Carrera;800500607;NO;No Aplica;No Aplica
SAPU Oriente de San Fernando;San Fernando;Calle;S/N;José Miguel Carrera;721683812;SI;Urgencia Ambulatoria (SAPU);Corto
Centro de Salud Familiar de Palmilla;Palmilla;Calle;S/N;Ignacio Carrera Pinto;722952486;NO;No Aplica;No Aplica
Posta de Salud Rural Pumanque;Pumanque;Calle;S/N;Aldea Camino Población;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Isla de Yáquil;Santa Cruz;Calle;S/N;Aldea Isla de Yáquil;Pendiente;NO;No Aplica;No Aplica
Laboratorio Clínico Coloma;San Fernando;Calle;760;Quechereguas;722712234;NO;No Aplica;No Aplica
Centro Médico ImagenSalud;San Fernando;Calle;492;Carampangue;722718000;NO;No Aplica;No Aplica
Centro de Diálisis SERDIAL Limitada;San Fernando;Calle;652;Quechereguas;Pendiente;NO;No Aplica;No Aplica
Clínica del Trabajador AChS San Fernando;San Fernando;Calle;577;Quechereguas;722713447;NO;No Aplica;No Aplica
Laboratorio Clínico Los Peumos;San Fernando;Calle;590;Valdivia;Pendiente;NO;No Aplica;No Aplica
Vacunatorio y Sala de Procedimientos Carolina Díaz González;San Fernando;Calle;536;Carampangue, oficina B;966077721;NO;No Aplica;No Aplica
Laboratorio Clínico Virginia Sáenz Fuenzalida;San Fernando;Avenida;620;Manuel Rodríguez;722720772;NO;No Aplica;No Aplica
Clínica San Francisco;San Fernando;Calle;620;Manuel Rodríguez;Pendiente;NO;No Aplica;No Aplica
Centro Odontológico Uno Salud Dental San Fernando;San Fernando;Avenida;701;Bernardo O´Higgins, Local 110, 114, 118, 122, 126 y 130;227638962;NO;No Aplica;No Aplica
Centro de Imagenología Médica ImagenSalud;San Fernando;Calle;608;Carampangue;722585405;NO;No Aplica;No Aplica
Laboratorio Clínico Biomaas;San Fernando;Calle;635;Olegario Lazo;722 715450;NO;No Aplica;No Aplica
Laboratorio MediSalud;San Fernando;Calle;708;Carampange;722716396;NO;No Aplica;No Aplica
Vacunatorio Neumann & Bertin Ltda.;San Fernando;Calle;708;Carampange;722714827;NO;No Aplica;No Aplica
Centro de Diálisis San Fernando;San Fernando;Calle;550;Roble;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Roma;San Fernando;Calle;S/N;Aldea Roma de San José de Los Lingues;Pendiente;NO;No Aplica;No Aplica
Vacunatorio y Sala de Procedimientos Patricia Rojas Gajardo;San Fernando;Avenida;1172;Monseñor Larraín, box 2 y 3 interior Centro Médico;942114063;NO;No Aplica;No Aplica
Hospital San Juan de Dios de San Fernando;San Fernando;Calle;1401;Negrete;722335100;SI;Urgencia Hospitalaria (UEH);No Aplica
Servicio Médico Legal San Fernando;San Fernando;Calle;1492;Negrete;(72)716493;NO;No Aplica;No Aplica
SAPU Centro;San Fernando;Calle;S/N;Manso de Velasco;727285652;SI;Urgencia Ambulatoria (SAPU);Corto
Centro de Salud Familiar Chacabuco;San Fernando;Calle;S/N;Manso de Velasco;722336750;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Consultorio Chacabuco;San Fernando;Calle;S/N;Avelino Barros;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Las Viñas;Paredones;Calle;S/N;Sector Las Viñas;Pendiente;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Angostura;San Fernando;Calle;S/N;Las Américas, sector Angostura;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Pupilla;Palmilla;Calle;S/N;Aldea Pupilla;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural San José del Carmen;Palmilla;Calle;S/N;Aldea San José del Carmen;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Molineros;Pumanque;Calle;S/N;Caserío Molineros;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Rinconada;San Vicente;Calle;S/N;Aldea Rinconada;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Idahue;San Vicente;Calle;S/N;Idahue;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Alto Ramírez;Pichilemu;Calle;S/N;Caserío Alto Ramírez;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Peralillo;Peralillo;Calle;S/N;Cardenal Caro;722336442;NO;No Aplica;No Aplica
SUR Peralillo;Peralillo;Calle;S/N;Cardenal Caro;722336442;SI;Urgencia Ambulatoria (SUR);No Aplica
Posta de Salud Rural El Tambo;San Vicente;Calle;S/N;Pueblo El Tambo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Santa Irene;Palmilla;Calle;S/N;Aldea Santa Irene;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Cahuil;Pichilemu;Calle;S/N;Sector Cahuil;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Los Cardos;Peralillo;Calle;S/N;Caserío Los Cardos;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar de Pelequen;Malloa;Calle;S/N;Pueblo de Pelequen;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Población;Peralillo;Calle;S/N;Santísima Trinidad, Pueblo de Población;Pendiente;NO;No Aplica;No Aplica
Laboratorio Clínico del Carmen;San Vicente;Calle;642;Horacio Aranguiz;722573716;NO;No Aplica;No Aplica
Centro de Salud Familiar de Malloa;Malloa;Calle;127;Bernales;Pendiente;NO;No Aplica;No Aplica
SUR de Malloa;Malloa;Calle;127;Bernales;Pendiente;SI;Urgencia Ambulatoria (SUR);No Aplica
Hospital San Vicente de Tagua -Tagua;San Vicente;Calle;1100;Juan Bautista Pastene;722336300;SI;Urgencia Hospitalaria (UEH);No Aplica
Laboratorio Márquez y Guajardo Ltda.;San Vicente;Avenida;463;Exequiel;722571441;NO;No Aplica;No Aplica
