Nombre Oficial;Comuna;Vía;Número;Dirección;Teléfono;Tiene Servicio de Urgencia;Tipo de Urgencia;Tipo de SAPU
Posta de Salud Rural San Marcos;Iquique;Calle;S/N;Localidad de San Marcos;Pendiente;NO;No Aplica;No Aplica
Policlínico Teck Quebrada Blanca;Pica;Calle;S/N;Faena minera Teck quebrada blanca, campamento 1700;56 9 6207 9063;NO;No Aplica;No Aplica
Clínica Coposa Cía. Minera Doña Inés de Collahuasi;Pica;Calle;S/N;Coposa Hostal Pabellón del Inca;572516621;NO;No Aplica;No Aplica
Posta de Salud Rural Chanavayita;Iquique;Calle;S/N;Aldea de Chanavayita;Pendiente;NO;No Aplica;No Aplica
SUR Chanavayita;Iquique;Calle;S/N;Aldea de Chanavayita;Pendiente;SI;Urgencia Ambulatoria (SUR);No Aplica
Posta de Salud Rural Matilla;Pica;Calle;S/N;Matilla;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Dr. Juan Márquez Vismarra;Pica;Calle;S/N;Balmaceda;572741306;NO;No Aplica;No Aplica
SUR Pica;Pica;Calle;S/N;Balmaceda;Pendiente;SI;Urgencia Ambulatoria (SUR);No Aplica
Posta de Salud Rural La Huayca;Pozo Almonte;Calle;S/N;Sector La Huayca;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural La Tirana;Pozo Almonte;Calle;S/N;General Ibáñez;Pendiente;NO;No Aplica;No Aplica
Centro de Diálisis Alto Hospicio;Alto Hospicio;Calle;3125;Inglaterra, Sector La Pampa;572324823;NO;No Aplica;No Aplica
Centro de Salud Familiar Dr. Héctor Reyno Gutiérrez;Alto Hospicio;Calle;3080;Naciones Unidas;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Dr. Yandry Añazco Montero;Alto Hospicio;Calle;4320;Los Lagos;572584401;NO;No Aplica;No Aplica
COSAM Enrique París;Alto Hospicio;Calle;S/N;Santa Rosa;573079321;NO;No Aplica;No Aplica
SAR La Tortuga;Alto Hospicio;Calle;3355;Santa Rosa;Pendiente;SI;Urgencia ambulatoria (SAR);No Aplica
Centro Comunitario de Salud Familiar La Tortuga;Alto Hospicio;Calle;3355;Santa Rosa;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Pedro Pulgar Melgarejo;Alto Hospicio;Calle;S/N;Los Álamos;800500108;NO;No Aplica;No Aplica
"Centro de Atención en Salud ""Nursing Care""";Iquique;Avenida;3717;Francisco Bilbao (Oficina 11);9 8418 4009;NO;No Aplica;No Aplica
Centro de Salud Familiar Pozo Almonte;Pozo Almonte;Calle;276;Balmaceda;572761214;NO;No Aplica;No Aplica
"LABORATORIO CLINICO ""BIOANALYSIS""";Iquique;Calle;3432;Salvador Allende;56 9 83887253;NO;No Aplica;No Aplica
Policlínico de Atención Primaria del Centro de Detención Preventiva de Pozo Almonte;Pozo Almonte;Calle;624;Libertad;572751228;NO;No Aplica;No Aplica
Laboratorio Clínico Playa Brava;Iquique;Calle;3327;José Francisco Vergara;572393544;NO;No Aplica;No Aplica
Centro de Diálisis Alto Medicen;Alto Hospicio;Calle;2251;El Pilón, sitio B;572267000;NO;No Aplica;No Aplica
COSAM Salvador Allende;Iquique;Calle;S/N;Céspedes;Pendiente;NO;No Aplica;No Aplica
SAR Sur de Iquique;Iquique;Calle;S/N;Playa El Águila;572536836;SI;Urgencia ambulatoria (SAR);No Aplica
Centro de Salud Familiar Sur de Iquique;Iquique;Calle;S/N;Playa El Águila;800500109;NO;No Aplica;No Aplica
Centro de Diálisis la Tirana;Iquique;Avenida;3095;La Tirana;572447964;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar El Boro;Alto Hospicio;Calle;S/N;Calle 4;572406750;NO;No Aplica;No Aplica
SAPU El Boro;Alto Hospicio;Calle;2765;Salitrera Domeyko;562581636;SI;Urgencia Ambulatoria (SAPU);Corto
Centro de Salud Universidad Arturo Prat;Iquique;Avenida;2120;Arturo Prat;572394745;NO;No Aplica;No Aplica
Estadio Tierra de Campeones;Iquique;Avenida;2903;Salvador Allende Gossens;Pendiente;NO;No Aplica;No Aplica
Clínica Establecimiento Penitenciario Alto Hospicio;Alto Hospicio;Calle;S/N;Ruta A16 Km. 6;572512602;NO;No Aplica;No Aplica
Centro de Diálisis Corporación Paúl Harris;Iquique;Calle;2110;Armada de Chile;572431880;NO;No Aplica;No Aplica
Centro de Diálisis Medicen;Iquique;Avenida;1934;Tadeo Haenke;572322175;NO;No Aplica;No Aplica
Laboratorio Médico Bioclinic Ltda.;Iquique;Calle;2889;Juan Antonio Ríos;572277483 / 995440744;NO;No Aplica;No Aplica
Centro de Salud Familiar Cirujano Guzmán;Iquique;Avenida;2763;Pedro Prado;800500106;NO;No Aplica;No Aplica
SAPU Cirujano Guzmán;Iquique;Avenida;2736;Pedro Prado;572573574;SI;Urgencia Ambulatoria (SAPU);Corto
Policlínico FACH de Iquique;Iquique;Calle;1605;Diego Portales;572792500 - 572792570;NO;No Aplica;No Aplica
Centro Clínico Militar Iquique;Iquique;Calle;1041;Diego Portales;572518182;NO;No Aplica;No Aplica
Centro de Salud Familiar Cirujano Aguirre;Iquique;Pasaje;S/N;3 Pintados;800500105;NO;No Aplica;No Aplica
SAPU Cirujano Aguirre;Iquique;Pasaje;S/N;Chintaguay;572573568;SI;Urgencia Ambulatoria (SAPU);Corto
Vacunatorio Inmuno Vida Spa;Iquique;Calle;1701;Barros Arana;56 966475246;NO;No Aplica;No Aplica
Laboratorio Clínico de Nueva Clínica Tarapacá;Iquique;Calle;1550;Barros Arana;572421566;NO;No Aplica;No Aplica
Instituto Teletón Iquique;Iquique;Calle;999;José Joaquín Pérez;572588888;NO;No Aplica;No Aplica
Policlínico del Trabajador AChS Iquique;Iquique;Calle;1517;Amunategui;572402914;NO;No Aplica;No Aplica
Clínica Tarapacá;Iquique;Calle;1550;Barros Arana;572397000;SI;Urgencia Hospitalaria (UEH);No Aplica
Centro de Diálisis Iquique;Iquique;Calle;1677;Orella;572422242;NO;No Aplica;No Aplica
Centro de Salud Mutual CChC Iquique;Iquique;Calle;769;Orella;572422735;NO;No Aplica;No Aplica
Laboratorio Clínico Arauco Ltda.;Iquique;Calle;1246;Ramírez;572415240;NO;No Aplica;No Aplica
Laboratorio Clínico Automatizado Elmo;Iquique;Calle;1229;Vivar;572412599;NO;No Aplica;No Aplica
Servicio Médico Legal Iquique;Iquique;Calle;2210;O'Higgins;(57)413925;NO;No Aplica;No Aplica
Centro Médico y Dental MegaSalud Iquique;Iquique;Calle;1162;Ramírez;572510540;NO;No Aplica;No Aplica
Clínica Iquique;Iquique;Calle;103;Bernardo O'Higgins;572393200;SI;Urgencia Hospitalaria (UEH);No Aplica
Vacunatorio Sonrisa Infantil;Iquique;Calle;1011;Aníbal Pinto;572420708;NO;No Aplica;No Aplica
BLUELAB Laboratorio Biología Molecular;Iquique;Avenida;103;Bernardo O’Higgins, 5° piso, of. 504-505;600 718 6000;NO;No Aplica;No Aplica
Policlínico Carabineros de Iquique;Iquique;Calle;1105;Pedro Lagos;572557040;NO;No Aplica;No Aplica
Laboratorio Clínico Costanera;Iquique;Calle;1090;Pedro Lagos;572332877;NO;No Aplica;No Aplica
Laboratorio Clínico Iquilab;Iquique;Calle;800;Latorre con Obispo Labbé;572391242;NO;No Aplica;No Aplica
Clínica Dental Móvil Simple. Pat. RW6740 (Iquique);Iquique;Calle;1846;Thompson;572406100;NO;No Aplica;No Aplica
Policlínico Naval de Iquique;Iquique;Pasaje;1055;Isaza;572517187;NO;No Aplica;No Aplica
Unidad de Salud Funcionario S.S. Iquique;Iquique;Calle;815;Aníbal Pinto;Pendiente;NO;No Aplica;No Aplica
Actividades gestionadas por la Dirección del Servicio para apoyo de la Red (S.S de Iquique);Iquique;Calle;815;Aníbal Pinto;Pendiente;NO;No Aplica;No Aplica
