Nombre Oficial;Comuna;Vía;Número;Dirección;Teléfono;Tiene Servicio de Urgencia;Tipo de Urgencia;Tipo de SAPU
Posta de Salud Rural San Enrique;Santo Domingo;Calle;S/N;Sector San Enrique;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Bucalemu (Santo Domingo);Santo Domingo;Calle;S/N;Sector Bucalemu;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural El Convento;Santo Domingo;Calle;S/N;Sector El Convento;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural El Asilo;San Antonio;Calle;S/N;Caserío El Asilo;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Cuncumén (San Antonio);San Antonio;Calle;S/N;Aldea Councumén;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Familiar Rocas de Santo Domingo;Santo Domingo;Calle;146;Las Hortensias;352442905;NO;No Aplica;No Aplica
CEAR Rocas de Santo Domingo;Santo Domingo;Calle;146;Las Hortensias;Pendiente;SI;Ambulatoria CEAR;No Aplica
SUR Rocas de Santo Domingo;Santo Domingo;Calle;146;Las Hortensias;Pendiente;SI;Urgencia Ambulatoria (SUR);No Aplica
SUR Juan Fernández;Juan Fernández;Calle;225;Vicente González;Pendiente;SI;Urgencia Ambulatoria (SUR);No Aplica
Centro de Salud Familiar Juan Fernández;Juan Fernández;Calle;225;Vicente González;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural San Juan de San Antonio;San Antonio;Calle;S/N;Sector San Juan de San Antonio;Pendiente;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Lo Gallardo;San Antonio;Avenida;2698;San Juan;352288063;NO;No Aplica;No Aplica
Centro Comunitario de Salud Familiar Tejas Verdes;San Antonio;Calle;347;Los Claveles;Pendiente;NO;No Aplica;No Aplica
Posta de Salud Rural Leyda;San Antonio;Calle;S/N;Aldea Leyda;Pendiente;NO;No Aplica;No Aplica
Centro de Salud Mutual CChC San Antonio;San Antonio;Calle;249;Arzobispo Casanova;352280399;NO;No Aplica;No Aplica
Laboratorio Clínico Llo-Lleo Ltda.;San Antonio;Calle;216;Inmaculada Concepción, Depto. A;352281388;NO;No Aplica;No Aplica
